,word,pn
863,めんどうくさい,-1
864,めんどくさい,-1
865,もう,-1
866,もたつき,-1
867,もっさり,-1
868,もったいない,-1
869,もってのほか,-1
873,もどかしい,-1
874,ものうい,-1
875,ものすさまじい,-1
876,ものたりない,-1
877,もの狂おしい,-1
878,もの凄まじい,-1
879,もの悲しい,-1
880,やかましい,-1
881,やきもき,-1
882,やっかい,-1
884,やにっこい,-1
885,やばい,-1
886,やぶさか,-1
888,やぼ,-1
890,やぼったい,-1
891,やましい,-1
892,ややこしい,-1
893,やりきれない,-1
894,やり切れない,-1
895,やるせない,-1
896,やわ,-1
898,やわい,-1
899,ゆゆしい,-1
900,ゆるい,-1
901,よけい,-1
905,よそよそしい,-1
906,よれよれ,-1
908,よれる,-1
909,よわい,-1
910,よんどころない,-1
911,らち,-1
912,ろくでなし,-1
916,わいせつ,-1
920,わかる,-1
921,わざとらしい,-1
922,わずらわしい,-1
923,わびしい,-1
924,わや,-1
926,わやく,-1
928,アウト,-1
932,アホ,-1
936,アン,-1
940,イカ,-1
941,イマイチ,-1
945,イレギュラ,-1
946,イレギュラー,-1
947,インチキ,-1
951,インパクト,-1
956,エキセントリック,-1
958,エゴイスト,-1
962,エッチ,-1
963,オーソドックス,-1
964,オマケ,-1
965,オモチャ,-1
966,オヤジ,-1
967,オリジナリティ,-1
968,カッコ,-1
969,ガキ,-1
970,ガタ落ち,-1
971,ガチガチ,-1
973,キズ,-1
974,キツイ,-1
975,キリ,-1
976,ギクシャク,-1
977,ギュウギュウ,-1
979,クセ,-1
981,グルーミー,-1
982,グロ,-1
986,グロッキー,-1
990,グロテスク,-1
992,コワい,-1
993,ショッキング,-1
995,ショック,-1
996,ショボ,-1
997,シリアス,-1
999,ジャジャ馬,-1
1003,ズレる,-1
1004,センス,-1
1005,ダーティ,-1
1006,ダーティー,-1
1007,ダサい,-1
1008,チグハグ,-1
1010,チャチ,-1
1011,チャラチャラ,-1
1012,ディプレッション,-1
1013,デカ,-1
1014,デプレッション,-1
1015,ノイジー,-1
1016,ノンセンス,-1
1020,バタくさい,-1
1021,バタ臭い,-1
1022,バラツキ,-1
1023,パワー,-1
1024,ヒステリック,-1
1026,ヒヤヒヤ,-1
1028,ヘン,-1
1030,ミーハー,-1
1032,ミス,-1
1033,メチャメチャ,-1
1035,メランコリック,-1
1036,メリハリ,-1
1037,ヤワ,-1
1039,ヨレヨレ,-1
1043,ワーストワン,-1
